Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
M,19,5,6,5,6,1,dependable
F,19,7,3,3,5,5,responsible
M,23,4,3,6,2,6,dependable
F,20,3,4,7,6,4,lively
M,25,2,6,6,2,5,responsible
M,18,6,6,4,4,4,lively
F,21,6,6,4,7,5,extraverted
M,22,7,7,2,5,4,serious
M,17,4,7,7,3,5,responsible
F,25,5,5,5,4,5,responsible
F,26,1,5,4,6,5,dependable
M,27,1,5,2,7,3,dependable
M,20,4,2,3,5,5,serious
F,17,6,3,3,1,5,serious
F,19,6,1,6,4,6,serious
M,19,6,3,3,6,7,lively
M,21,7,2,4,6,4,serious
F,22,6,4,4,4,5,extraverted
M,23,3,3,2,3,7,responsible
M,21,4,4,1,6,6,lively
F,21,7,1,4,5,4,dependable
M,20,7,4,6,3,4,serious
F,20,6,5,1,3,5,lively
F,18,4,4,1,5,3,dependable
M,18,4,4,4,6,3,lively
M,19,5,4,3,5,6,dependable
M,18,4,3,3,5,3,serious
F,19,6,6,2,3,7,extraverted
M,20,6,6,6,3,3,dependable
M,21,6,2,2,7,5,lively
F,21,6,4,7,5,7,serious
M,25,7,7,5,6,7,extraverted
F,22,3,6,7,4,3,lively
M,17,5,2,7,5,1,lively
M,20,3,4,7,5,5,extraverted
F,18,5,5,5,7,5,dependable
F,19,5,6,7,4,5,serious
F,19,3,5,6,5,5,extraverted
M,18,3,5,2,5,2,responsible
F,18,5,4,6,7,5,serious
F,20,6,4,7,5,5,serious
M,18,7,4,3,6,5,responsible
M,17,5,4,6,7,1,lively
F,17,5,5,7,6,4,serious
M,20,6,6,5,4,5,serious
M,18,6,3,1,4,6,lively
F,19,3,5,3,5,4,serious
M,19,6,6,6,4,6,responsible
F,18,5,7,6,7,6,dependable
F,18,2,7,5,7,4,dependable
F,20,6,6,1,5,1,lively
M,18,6,7,3,1,5,extraverted
F,20,3,6,2,5,7,extraverted
M,18,7,7,7,6,2,lively
M,18,6,6,3,6,5,responsible
F,18,6,6,3,6,3,serious
F,18,5,5,7,5,6,serious
M,21,7,6,7,5,5,responsible
M,21,6,7,7,4,2,dependable
F,18,4,6,3,5,4,serious
M,18,6,5,5,4,5,extraverted
F,19,6,6,6,6,4,dependable
M,19,2,5,5,3,5,extraverted
F,18,5,4,6,4,5,lively
M,19,4,5,7,4,3,dependable
M,19,1,6,5,1,7,dependable
F,20,3,7,3,2,6,lively
M,22,5,6,7,5,4,responsible
M,21,4,6,7,6,5,lively
F,20,2,6,7,4,3,serious
M,17,3,7,6,3,5,serious
F,18,3,7,6,6,7,dependable
F,19,7,7,3,5,7,serious
F,17,6,7,3,7,5,extraverted
M,20,3,7,7,5,3,extraverted
F,17,4,4,5,2,3,lively
F,19,7,4,1,3,6,extraverted
M,19,6,5,5,6,5,responsible
F,21,4,5,7,7,4,extraverted
F,22,7,5,7,5,5,serious
M,26,1,6,3,6,6,lively
F,26,3,5,5,5,5,serious
M,24,5,4,5,7,5,serious
M,21,2,6,6,7,6,extraverted
F,20,4,5,2,2,3,extraverted
M,18,6,5,4,3,7,serious
M,19,1,5,4,7,4,dependable
M,17,3,3,2,6,4,lively
F,17,5,5,3,6,5,lively
F,21,2,3,6,7,5,dependable
M,20,4,7,3,5,1,lively
F,22,7,3,4,7,5,dependable
M,17,4,5,2,5,6,serious
M,20,6,4,5,7,5,extraverted
F,18,1,4,2,5,2,dependable
M,19,5,3,4,5,2,responsible
F,19,5,7,6,4,4,dependable
M,18,5,1,7,5,3,serious
M,20,7,4,7,6,5,serious
M,25,5,2,3,5,4,responsible
F,18,6,1,5,5,5,responsible
F,21,7,1,3,4,5,extraverted
M,22,6,2,2,4,5,dependable
F,17,4,4,5,4,5,lively
M,20,4,3,3,4,3,serious
F,18,5,4,3,4,6,serious
M,19,4,3,1,7,3,lively
M,19,7,4,4,3,6,responsible
M,18,7,4,3,2,6,responsible
F,18,5,8,1,7,4,extraverted
M,20,1,7,6,3,6,lively
M,17,5,5,4,5,3,lively
M,17,6,4,7,4,6,extraverted
F,18,6,6,5,3,1,dependable
F,19,6,2,7,1,2,dependable
M,26,5,6,3,5,4,serious
M,24,6,2,5,6,2,extraverted
F,21,1,6,6,2,6,dependable
M,20,4,6,6,3,4,lively
F,18,4,2,6,2,3,serious
M,19,6,3,4,4,5,extraverted
M,17,6,5,6,4,5,responsible
F,17,7,6,5,5,4,extraverted
F,17,7,5,7,2,3,extraverted
M,19,5,5,7,4,5,responsible
M,18,7,4,5,2,5,dependable
F,19,6,5,4,4,5,serious
M,19,6,5,7,4,5,lively
F,19,6,4,2,7,6,serious
M,21,6,6,7,3,6,extraverted
F,20,5,6,6,3,6,dependable
F,20,5,5,4,4,4,responsible
F,18,4,6,6,4,5,extraverted
M,25,6,4,4,6,6,serious
F,25,7,4,5,5,5,serious
M,17,3,7,1,5,7,responsible
M,21,5,5,6,6,4,lively
F,25,7,6,7,1,1,responsible
F,22,5,5,4,3,5,serious
M,17,6,3,7,1,4,dependable
F,20,5,6,6,4,4,dependable
M,23,1,3,5,6,4,serious
M,24,4,7,6,4,6,dependable
F,19,6,3,2,4,6,dependable
M,22,4,5,6,5,5,responsible
F,17,5,5,6,4,6,lively
M,20,1,2,7,6,4,dependable
M,18,3,3,6,5,3,responsible
F,19,4,4,7,5,6,serious
F,19,5,4,6,4,3,lively
M,18,2,5,7,6,7,dependable
M,18,7,5,6,2,6,serious
F,20,6,7,5,4,3,lively
F,18,3,5,3,5,6,responsible
F,17,3,5,6,3,4,responsible
M,17,5,4,5,2,7,extraverted
M,20,5,5,7,2,4,serious
F,18,4,5,7,4,7,lively
F,19,2,4,4,3,5,serious
F,19,6,4,7,5,7,lively
M,26,1,2,7,4,6,extraverted
M,27,1,6,7,4,4,lively
M,20,6,4,4,4,6,dependable
M,21,5,4,4,6,3,lively
F,18,6,1,7,6,5,dependable
M,19,3,3,4,4,3,responsible
F,20,4,5,2,6,2,responsible
F,20,4,4,4,4,6,responsible
M,24,7,2,4,3,4,serious
F,17,5,4,5,7,6,dependable
M,17,4,4,3,5,5,responsible
M,18,5,3,5,6,6,serious
F,19,4,2,1,5,6,serious
F,23,6,3,4,5,4,lively
F,24,5,3,5,5,5,serious
F,25,5,7,3,7,4,extraverted
M,18,4,5,6,5,5,responsible
M,19,5,4,5,1,3,responsible
F,19,6,1,3,6,6,extraverted
M,17,6,6,7,6,5,extraverted
F,18,4,6,3,5,4,serious
M,22,7,4,2,6,4,dependable
M,23,3,6,5,4,3,lively
F,21,4,2,3,5,6,responsible
F,20,4,4,6,4,3,lively
M,5,4,5,5,2,2,extraverted
M,25,5,5,5,4,6,extraverted
F,26,6,2,6,3,2,dependable
F,26,7,4,7,5,5,responsible
F,18,3,3,6,3,5,extraverted
M,19,2,4,7,6,6,responsible
M,20,2,2,4,7,3,extraverted
M,23,3,7,3,3,7,extraverted
5,21,2,5,6,1,5,serious
M,18,5,4,5,5,1,lively
F,19,2,5,4,6,6,serious
M,17,3,6,6,1,6,serious
F,20,3,4,5,1,4,extraverted
F,25,4,6,4,5,6,dependable
M,24,5,6,3,3,4,responsible
M,26,5,6,6,2,3,lively
F,21,3,5,7,4,6,extraverted
F,5,2,5,3,2,7,responsible
M,23,5,7,1,3,4,extraverted
F,20,6,5,6,2,7,dependable
M,19,6,4,5,4,3,dependable
F,24,2,6,6,5,6,serious
M,24,4,5,5,6,4,responsible
M,27,6,6,5,3,6,dependable
M,28,1,5,6,2,5,serious
F,20,3,5,5,5,5,dependable
F,21,4,4,5,6,5,responsible
F,23,5,2,7,7,6,responsible
M,24,5,5,5,2,6,serious
F,25,3,2,4,4,3,lively
M,26,6,4,6,6,5,extraverted
M,27,7,5,5,1,5,dependable
M,19,4,6,4,2,7,extraverted
F,18,3,5,6,4,7,serious
F,20,4,5,5,2,5,serious
F,21,1,4,6,7,5,responsible
M,21,3,4,5,1,4,serious
M,21,3,4,5,2,7,serious
M,18,3,3,5,7,4,extraverted
F,23,5,1,1,5,5,extraverted
F,24,3,5,4,1,7,responsible
M,23,3,6,6,1,6,lively
M,25,7,2,5,5,6,responsible
M,19,3,3,3,5,4,dependable
F,19,2,2,5,4,4,extraverted
M,20,4,4,4,4,6,dependable
F,21,5,4,2,5,6,dependable
F,22,5,5,7,7,4,dependable
F,18,3,2,7,4,5,dependable
M,20,6,4,5,7,5,extraverted
M,23,7,5,4,6,4,lively
F,24,7,6,4,3,5,lively
F,26,4,7,5,7,3,extraverted
M,20,5,3,6,7,6,responsible
M,18,6,2,7,6,6,dependable
M,19,2,2,6,4,6,extraverted
F,21,5,3,4,5,6,dependable
M,21,1,1,3,6,6,serious
M,17,6,5,5,5,5,responsible
F,18,7,6,6,6,4,serious
F,23,5,2,7,6,6,extraverted
F,24,6,3,6,4,5,extraverted
M,23,5,2,3,4,6,serious
M,25,7,4,6,5,6,serious
F,19,5,4,6,4,6,lively
F,17,2,5,7,6,4,responsible
F,20,3,2,7,6,4,dependable
M,25,4,4,7,6,4,serious
M,20,5,2,4,5,7,lively
M,21,7,4,1,3,4,dependable
M,22,8,4,2,2,5,lively
F,20,7,7,7,7,2,extraverted
M,19,4,6,4,6,6,dependable
M,20,7,6,4,5,5,dependable
M,22,7,6,7,4,3,serious
F,19,4,4,5,5,4,lively
M,18,5,6,6,6,6,lively
F,17,5,6,5,7,4,extraverted
M,17,6,6,7,5,7,serious
M,21,5,7,5,6,7,lively
F,19,5,5,5,5,5,lively
M,22,6,7,5,6,3,serious
F,19,7,6,7,7,6,extraverted
M,21,6,6,6,6,6,serious
M,22,6,7,5,5,5,dependable
M,21,5,5,5,5,5,extraverted
M,17,4,6,7,3,3,extraverted
M,19,7,7,2,6,5,serious
F,21,6,7,4,4,2,responsible
M,19,5,6,6,4,3,responsible
F,21,4,6,3,3,3,extraverted
M,19,6,4,6,3,6,responsible
M,22,4,5,4,3,6,serious
F,21,5,5,5,5,5,responsible
M,17,5,3,3,4,4,extraverted
